filename,content
001_transcriptions_v3/PN-109-pers-1-trip.txt,"[00:00:00 - 00:15:16]: А-а, наверное, самой поездка была поездка в Москву, Питер и Ярославль.
[00:15:26 - 00:35:90]: В прошлом году с моей мамой мы отправились после окончания учебного года моего десятого класса, вместе в отпуск. Сначала мы прилетели в Москву, рассматривали, посещали разные достопримечательности.
[00:36:22 - 00:52:14]: Э-э, музеи, выставки. Э-э, позже мы отправились э-э в Ярославль. И этот город э-э действительно меня покорил. Это
[00:54:14 - 01:09:72]: Э-э, в нём идеально сочетается красивая архитектура, но при этом достаточно много зелени, безумно красивая набережная, и люди никуда не торопятся, не гуляют.
[01:09:87 - 01:26:02]: Наслаждаются летом, по возвращению обратно в Москву всего запомнилось-запомнились безграничные поля, усыпанные одуванчиками. Потом мы отправили
[01:26:11 - 01:41:23]: ...в Санкт-Петербург на поезде. И было очень приятно просыпаться, когда лучи солнца...
[01:41:55 - 01:56:67]: Светят прямо в вагон, и ощущаешь такое приятное чувство того, что ты едешь куда-то дома отдыхать.
[01:57:75 - 02:14:28]: В Питере мы пробыли совсем немного, и, наверное, я была этому очень рада, потому что э-э мои впечатления от этого города, отношение к нему немного поменялось. Я перестала считать его самым лучшим городом.
[02:14:67 - 02:31:36]: Э-э-э в нашей стране и-и поняла, что Питер, конечно, хорош, но есть города, другие города, которые также не стоит недооценивать.
[02:32:39 - 02:40:98]: Э-э-э. Потом мы вернулись в Москву, пробыли там день и поехали домой.
"
001_transcriptions_v3/PN-136-pers-1-party.txt,"[00:00:00 - 00:17:17]: Так. Самый лучший, запоминающийся праздник. Э-э-э... Так. Это был э-э Новый год, э-э-э, который я праздновала у своей капуки. Капука — это моя бабушка.
[00:17:22 - 00:36:00]: А-а, мы пришли, значит, всей семьёй к ней и к дедушке. Пришли также э-э дядя с тётей и их ребёнком. И, значит, мы все, конечно же, сели за стол, начали кушать вкуснейшие в мире салаты.
[00:36:64 - 00:53:47]: А-а, кушать э-э самые вообще вкусные бутерброды, закуски, а-а сидели, общались, а-а, пили вкусное вино. Вот. Значит, очень приятно проводили время.
[00:53:96 - 01:08:98]: Э-э, конечно же, обменялись подарками. Э-э, пожелали друг другу э-э замечательного следующего года и
[01:10:56 - 01:12:67]: Потом все ушли, я осталась у бабушки.
"
001_transcriptions_v3/PN-134-pic-1-sportsman.txt,"[00:00:00 - 00:15:10]: Один очень грустный человек из-за токсичной мускулинности завидовал, что он недостаточно большой и широкоплечий. Он видел рекламы с красивыми, накачанными мужчинами
[00:15:48 - 00:32:66]: Принять своё тело. А-а, пытался как-то накачаться, но это было точно не его. Э-э потерпел неудачу и выкинул всё оборудование, как все-все мы можем как-нибудь сделать. Э-э не найдя
[00:33:30 - 00:49:39]: ...способа изменить своё тело. Он решил, что сможет изменить то, как он выглядит. И пошёл к портному, купил красивый костюм, который сделал из него какого-то очень странного человека. Зато теперь он доволен тем, как он выглядит.
"
001_transcriptions_v3/PN-107-instr-1-bench.txt,"[00:00:00 - 00:16:19]: А-а, итак, для начала нужно разложить на твёрдой поверхности одну большую доску, которая будет являться сиденьем для нашей скамейки и три
[00:16:28 - 00:33:02]: Узких доски в них есть, два, четыре, шесть, семь, девять, десять, одиннадцать отверстий, в которые нужно вставить э-э деревянные
[00:34:60 - 00:53:18]: Шты. Ну, дабы заткнуть эти отверстия, судя по всему. Так. Затем.
[00:53:94 - 01:09:16]: Берём ещё одну деталь, состоящую из четырёх досок, похожую на букву А. И три приготовленных, заготовленных заранее доски узких мы вставляем, а-а, соответственно, в
[01:11:51 - 01:32:15]: Верхние в две вертикальные балки, верхние края и ещё одну доску вставляем в-ой, да, в горизонтальную нижнюю балку посерединке. Затем длинную, заранее большую, широкую, заранее заготовленную доску нам нужно будет
[01:33:24 - 01:48:87]: Положить на две параллельно стоящие узкие доски и закрепить, я так понимаю, в заранее подготовленные отверстия.
[01:51:01 - 02:06:35]: Соединить всю конструкцию. А-а, затем берём вторую деталь, похожую на букву А, боковушку. И также а-а закрепляем её на три вертикальные.
[02:06:86 - 02:22:43]: А-а, узкие балки. Узкие доски. Закрепляем а-а шурупами в трёх местах, соответственно. А-а в наверху двух
[02:23:06 - 02:39:26]: А-а, так, сейчас. У двух горизонтальных балок наверху и посерединке аналогично, в общем, как мы вставляли, а-а, наши узкие доски несущие.
[02:41:50 - 02:56:88]: ...на которых крепится вся конструкция. Затем нам нужно будет перевернуть а-а нашу скамейку и всё то же самое проделать с другой стороны. Закрепить э-э вот эти...
[03:02:95 - 03:19:27]: Кладём нашу скамейку на сидушку и четырьмя мм болтами, четырьмя болтами.
[03:19:66 - 03:39:52]: А-а, закрепляем, а-а, две узкие доски к нашей сидушке с двух сторон по два болта соответственно. Всунуть и так далее. Затем
[03:42:66 - 03:57:47]: Берём ещё четыре э-э дощечки и восьмью болтами закрепляем их.
"
001_transcriptions_v3/PN-109-instr-1-chair.txt,"[00:00:00 - 00:15:87]: Что нужно сделать, это прикрутить ножки к табурету, к основе табурета. А-а для этого положить основу табурета.
[00:16:11 - 00:33:64]: Внутренней стороной, а наверх ножку перевернуть и прикрутить шурупом. А потом нужно к этой ножке, э-э...
[00:34:43 - 00:53:37]: Прикрутить или нет, просто вставить две палки, которые будут соединять две ножки нашего стула. А-а, после этого нужно вставить вторую ножку.
[00:53:42 - 01:09:52]: ...в эти палки и также прикрутить её к основе стула. А-а, потом нужно перевернуть наш табурет, а-а, и обмотать.
[01:10:36 - 01:23:42]: Э-э, какой-то тканью или бумагой. Сначала одну соединяющую ножки, палку, и потом вторую.
"
001_transcriptions_v3/PN-149-instr-1-bench.txt,"[00:00:00 - 00:15:48]: Так. Распаковать коробку со столешницей и тремя досками для крепления. Взять одну боковинку, прикрутить к ней три доски крепления.
[00:16:14 - 00:32:39]: Прикрепить столешницу. Четвёртым шагом ммм прикрепить вторую боковинку. Пятым шагом — шурупами закрутить боковинки, закрепить их. А шестым шагом перевернуть
[00:33:07 - 00:48:78]: Э-э собранную часть скамейки с сиденьем вниз наоборот, на другую часть боковинки и закрепить вторую боковинку шурупами. После седьмым шагом
[00:49:06 - 01:06:11]: А-а, перевернуть скамейку сиденьем вниз и крепление прикрепить шурупами к сиденью. Затем последним шагом перевернуть скамейку на ножке и прикрепить.
[01:06:70 - 01:09:40]: Боковинки.
"
001_transcriptions_v3/PN-141-pic-1-adventure.txt,"[00:00:00 - 00:16:21]: Женщина нашла потерявшуюся коляску. Она привезла её к дому, откуда этот ребёнок мог бы быть. Зашла в него, чтобы найти, позвать маму, но в это время, пока она ушла, ребёнок вылез из коляски.
[00:16:29 - 00:34:45]: Исследовать мир вокруг. А судя по всему, коляска была где-то рядом с оживлённой улицей, но в целом, мне кажется, она была на улице. Да, и он пошёл, пошёл и забрёл в толпу людей.
[00:35:38 - 00:50:45]: А-а, собственно, ребёнок, скорее всего, потерялся уже на первых этапах, забрёл п- толпу людей, э-э, где его никто не замечал, потому что он был очень маленьким.
[00:51:01 - 01:07:24]: Вот. Потом приключения этого ребёнка продолжались. И кроме людей, он также встретил большую страшную собаку, которая смотрела на него сверху вниз, но почему-то пока не кусала. Ребёнок был этим очень озадачен.
[01:07:90 - 01:26:97]: Но в целом с ним так ничего и не случилось. Может быть, он узнал какой-то новый урок про жизнь, что, мол, даже большие собаки его не могут съесть иногда. Приключения ребёнка продолжались. Он перешёл, судя по всему, улицу и улицу с собаками тоже.
[01:27:81 - 01:46:29]: Э-э и вышел на проезжую часть и попытался её перейти. К счастью, его никакая машина также не переехала. Это был нереально удачливый ребёнок. Да, он перешёл улицу и забрёл в какой-то переулок.
[01:48:35 - 02:00:82]: А-а, забрёл в какой-то переулок и просто по велению инстинкта решил идти дальше в что-то похожее на трубу. Он
[02:03:28 - 02:22:25]: Шёл, шёл. Труба была извилистая, и, судя по всему, своими какими-то неведомыми путями привела его обратно туда же, откуда он своё нереальное приключение начал. А-а, и эта извилистая, тёмная, страшная труба привела его обратно в
[02:22:48 - 02:37:28]: Тёплую домашнюю коляску. Откуда? Там, э-э, где, собственно, его и нашла женщина, которая пыталась отвезти его к маме. А-а, да. Она поняла, что маме, мамы в этом доме нету, взяла коляску и пошла с ним дальше.
"
001_transcriptions_v3/PN-153-pers-1-party.txt,"[00:00:00 - 00:17:66]: А-а, ну я был, значит, у одного человека. Мы с ним ездили, э-э, за город, и там мы ходили на дискотеку. То есть мы туда приехали.
[00:18:49 - 00:21:12]: Вот, э-э, значит, э-э.
[00:21:36 - 00:40:95]: Ну, пожарили шашлык, выпили пиво и пошли на дискотеку, на местную. Что мне там запомнилось? Это такая деревенская дискотека. Значит, там, а-а, как в Новом году вот этот серпантин и вот этот дождик, он приклеен прямо к потолку.
[00:41:29 - 00:48:44]: Вот, и там люди приходят, кто в чём, короче. Кто в сапогах приходит потанцевать, кто приходит вообще там, я не знаю, там
[00:49:17 - 01:08:59]: В разном состоянии. Вот диджей там был вообще человек, который просто, по-моему, проигрывал какие-то, ну, рандомные песни, вот, на старом магнитофоне. Вот. И мы там с ним там, ну ещё там, э-э, с другими людьми, которые мы там познакомились, потанцевали. Вот.
[01:08:59 - 01:28:01]: Вот. Э-э-э, было весело, потом мы, собственно говоря, пошли на речку. А-а, там мы посидели, значит, посмотрели на закат. Вот. Ну, в общем, и дальше пошли домой, и, собственно говоря, на следующий день я уехал.
[01:28:79 - 01:31:37]: Вот. Собственно, вся история. Угу.
"
001_transcriptions_v3/PN-127-pers-1-present.txt,"[00:00:00 - 00:18:07]: Скажите про самый лучший или самый запоминающийся подарок, который вы получали подарок запоминающийся.
[00:21:63 - 00:37:20]: Самый лучший или запоминающийся подарок, который я получала, наверное, всё равно я
[00:37:72 - 00:52:91]: Как бы он был прогнозируемый, этот подарок. Ну да, запомнила я его, конечно, да. Это были часы, которые муж подарил мне на рождение дочери. Часы были именно такие, какие я хотела.
[00:53:64 - 01:11:61]: Событие было такое памятное, поэтому всё вместе как-то сложилось, и к этим часам я всегда относилась с таким чувством. То есть, и когда я на них смотрю, я и про события помню, и как мне их подарили, и они сами мне нравятся.
[01:11:96 - 01:27:13]: Да, они именно той формы, какую я хотела. В общем, такой был подарок, который как бы ну просто там раз — и всё.
[01:27:73 - 01:35:05]: Цветы, которые завянут, что-то сладкое, которое ты съешь, а именно то, что вот останется, и часы они остаются достаточно надолго.
"
001_transcriptions_v3/PN-159-pic-1-adventure.txt,"[00:00:00 - 00:15:11]: Рассказ о ребёнке, которого мама оставила одного в коляске. Не успела она скрыться за дверью.
[00:15:94 - 00:34:30]: Как ребёнок вылез из коляски и начал своё путешествие по городу. Вот он встречает людей, идущих ему навстречу мужчин, женщин, и наконец встречает большую собаку.
[00:37:49 - 00:56:46]: Пообщавшись с ней, идёт дальше и оказывается на дороге между машинами, но, по счастью, всё прошло благополучно, и он подходит в конце концов
[00:57:25 - 01:14:93]: ...к огромной трубе, на которой стоит знак внимания. Он заходит в неё, проходит сквозь неё, благополучно выходит с другого конца.
[01:16:47 - 01:34:49]: И получается, что он возвращается к своей коляске, из которой вылез какое-то время назад. И тут выходит из дома мама.
[01:36:30 - 01:52:90]: Она его застаёт в коляске, и как будто ничего с ребёнком не произошло, продолжает с ним идти по своим делам. Ребёнок в коляске, сумка рядом.
[01:53:46 - 02:04:19]: Она шагает вся прибранная, в шляпочке, в туфельках. Так закончилось, так закончилось происшествие малыша.
"
